rating,team,position,salary,country,draft_round,age,experience,bmi
76,Orlando Magic,G,7250000.0,USA,1,33,12,25.200617283950617
76,Dallas Mavericks,G,2564753.0,Not-USA,0,36,14,25.053654841560405
76,No Team,F,3500000.0,USA,1,31,12,24.63711168639053
76,Washington Wizards,F,7000000.0,Not-USA,2,28,9,22.122318786982245
76,Los Angeles Lakers,G,6767000.0,USA,1,30,10,24.245497656314246
76,Charlotte Hornets,F,3755400.0,USA,1,22,2,26.033057851239672
76,Dallas Mavericks,G,1416852.0,USA,2,24,2,25.18042366691015
76,Los Angeles Lakers,G,8089282.0,USA,1,27,7,24.08631820074969
76,Miami Heat,F,7815533.0,USA,2,30,8,27.18855218855219
76,Atlanta Hawks,C,13333334.0,USA,0,31,7,23.89517071127863
76,Memphis Grizzlies,C,16229213.0,Not-USA,1,30,7,24.1147374260355
76,No Team,F-G,2564753.0,USA,1,34,15,22.214569941842672
76,Houston Rockets,F,3405180.0,USA,1,34,13,25.865708947074676
76,Portland Trail Blazers,F,5718000.0,USA,1,28,6,22.895483996214423
76,Atlanta Hawks,G,2636280.0,USA,1,22,2,21.331155169426506
76,Milwaukee Bucks,F,7000000.0,Not-USA,2,33,15,25.11782448864172
76,Orlando Magic,F,5806440.0,USA,1,23,3,20.886772534309653
76,Memphis Grizzlies,F,7059480.0,USA,1,23,3,22.344633453857174
76,Phoenix Suns,F-C,4767000.0,USA,1,27,5,23.0950649121647
76,Dallas Mavericks,F,12784359.0,USA,1,27,8,26.841648811345785
76,New York Knicks,F,4380120.0,USA,1,21,2,24.13801638573303
76,Miami Heat,C,11286515.0,USA,1,28,8,24.494699023562347
76,Milwaukee Bucks,G,2564753.0,USA,0,34,11,26.789980939085616
76,Utah Jazz,G,1737145.0,Not-USA,1,24,5,23.623255941448974
76,New Orleans Pelicans,C,1702486.0,USA,1,25,5,28.307599852071004
76,New York Knicks,G,8000000.0,USA,1,26,6,23.001014226583703
76,Denver Nuggets,F,3389400.0,USA,1,22,2,22.540680473372777
76,Houston Rockets,G,2174310.0,USA,1,28,8,24.867739371179518
76,Oklahoma City Thunder,G-F,10740740.0,USA,1,29,7,23.128140392564546
76,Los Angeles Lakers,G,2564753.0,USA,1,34,14,24.651570489408325
76,Los Angeles Clippers,G,1995120.0,USA,1,23,2,21.920051545007922
76,Boston Celtics,C,5000000.0,Not-USA,0,28,7,23.664733432017282
76,No Team,G,2320044.0,USA,2,31,9,27.399183673469388
76,Los Angeles Lakers,G,12475385.0,USA,1,29,8,26.10948164798114
76,Milwaukee Bucks,F,14654179.0,USA,1,34,15,26.416559489431926
76,Dallas Mavericks,G,9473684.0,USA,1,28,5,21.371303623490213
76,Chicago Bulls,G,5307120.0,USA,1,20,1,22.52677924239577
75,No Team,C,5538540.0,Not-USA,1,40,19,24.305555555555554
75,Phoenix Suns,C,5453280.0,Not-USA,0,34,11,27.258228550295858
75,Sacramento Kings,G,19269663.0,USA,0,31,8,23.745603908829768
75,San Antonio Spurs,G,5846154.0,Not-USA,1,34,13,23.61516034985423
75,Charlotte Hornets,C,17000000.0,Not-USA,1,28,9,25.205658957994622
75,Phoenix Suns,F-G,4161000.0,USA,1,24,2,24.181205999387817
75,Brooklyn Nets,F-G,2564753.0,USA,1,33,13,24.76643451673179
75,New York Knicks,G,1618520.0,USA,2,26,3,23.852040816326532
75,Chicago Bulls,G,5348007.0,USA,1,26,4,25.48998108604479
75,New York Knicks,G,8000000.0,USA,1,33,11,24.355016242046766
75,San Antonio Spurs,G,2875000.0,USA,0,27,4,23.99841557265731
75,New Orleans Pelicans,G,1934160.0,USA,1,25,3,24.08631820074969
75,Detroit Pistons,F,9732396.0,USA,1,30,8,23.51541144311434
75,Portland Trail Blazers,F-G,1737145.0,Not-USA,1,25,5,22.12380790603995
75,Milwaukee Bucks,G,10133907.0,USA,1,34,12,22.381513664647354
75,Toronto Raptors,F,2500000.0,USA,1,25,5,24.41332517090093
75,Sacramento Kings,F,4767000.0,USA,2,27,5,25.47614644970414
75,Minnesota Timberwolves,F,15349400.0,USA,1,33,11,27.506744882552418
75,Detroit Pistons,G,3827160.0,USA,1,24,3,23.141399416909625
75,Milwaukee Bucks,F,6004753.0,USA,2,39,17,23.80139105467687
75,Brooklyn Nets,F,1699236.0,Not-USA,2,22,2,22.980488264680933
75,Minnesota Timberwolves,F,3581986.0,USA,2,26,4,23.004683442937228
75,Milwaukee Bucks,C,4767000.0,USA,1,32,12,25.495382309506496
75,San Antonio Spurs,F,5500000.0,Not-USA,1,25,5,25.761146196625507
75,Dallas Mavericks,C,3500000.0,Not-USA,0,32,10,26.2157206632653
75,Indiana Pacers,G,3500000.0,USA,0,28,5,26.506939371804233
75,San Antonio Spurs,G,12678571.0,Not-USA,2,32,11,24.51716581446311
75,Charlotte Hornets,G,4028400.0,USA,1,22,3,24.49494257284614
75,Los Angeles Lakers,F,3709887.0,USA,1,31,9,26.96741003178918
75,Washington Wizards,G,1845301.0,USA,1,29,6,23.703305563020688
75,Cleveland Cavaliers,F-G,2907143.0,Not-USA,2,25,5,24.13801638573303
75,Chicago Bulls,G,10000000.0,Not-USA,2,29,8,22.229647780995528
75,Philadelphia 76ers,F,4767000.0,USA,2,32,8,26.6082522709834
75,Denver Nuggets,F,2000000.0,USA,1,25,6,25.89681952662722
75,No Team,G-F,3551100.0,USA,0,24,2,24.355016242046766
74,Minnesota Timberwolves,F,3321029.0,Not-USA,1,25,4,23.51541144311434
74,Memphis Grizzlies,F,9073050.0,USA,1,27,6,24.58525779998115
74,Cleveland Cavaliers,F-C,1870564.0,USA,2,25,3,24.654808415637365
74,Orlando Magic,C,3000000.0,Not-USA,0,28,6,22.339523046469978
74,Memphis Grizzlies,G-F,1618520.0,Not-USA,2,24,3,25.261750946758752
74,New York Knicks,G,4000000.0,USA,1,29,7,23.140495867768596
74,Portland Trail Blazers,C,4240200.0,USA,1,23,3,23.636036926394286
74,Milwaukee Bucks,G,1723050.0,USA,2,27,5,25.385256143273637
74,Los Angeles Lakers,G,3000000.0,USA,0,27,5,23.85682980277575
74,Denver Nuggets,G,2000000.0,USA,0,30,6,24.13801638573303
74,Dallas Mavericks,G,7461380.0,USA,0,30,7,23.10151652331372
74,Phoenix Suns,F-C,1678854.0,Not-USA,2,24,4,24.106384527651734
74,Sacramento Kings,G,3150000.0,USA,0,27,4,24.109409059691238
74,Orlando Magic,G,9745200.0,USA,1,22,3,24.245497656314246
74,Sacramento Kings,F-C,2578800.0,USA,1,22,3,23.636036926394286
74,New York Knicks,F,11011234.0,USA,1,27,8,23.35338234202124
74,Dallas Mavericks,F-G,3280920.0,USA,1,25,3,22.56627311205169
74,Brooklyn Nets,G,19428485.0,USA,0,28,6,23.127107261314112
74,Miami Heat,F,1645357.0,USA,0,23,4,22.561473319049078
74,Sacramento Kings,G,12000000.0,Not-USA,1,29,9,23.001014226583703
74,Dallas Mavericks,F-C,8000000.0,Not-USA,0,28,6,22.122318786982245
74,Indiana Pacers,F-C,2813280.0,Not-USA,1,23,3,23.27570266272189
74,Indiana Pacers,F,7333333.0,USA,1,28,6,24.474641716789193
74,New Orleans Pelicans,G,8664928.0,USA,2,31,9,23.74934897617938
74,Los Angeles Clippers,C,6813026.0,USA,1,35,13,23.128411311515915
74,Philadelphia 76ers,F-C,2174318.0,USA,2,30,8,25.652747667075126
